% Model,cochlear_microphone PVDF piezo.mph
% Version,COMSOL 5.5.0.306
% Date,"Jul 30 2020, 23:20"
% Table,Charge Frequency Response - charge top plane
% freq (Hz),"Electric displacement field, z component (C)",abs(es.Dz) (C)
7962.143411069947,3.4372633533146505E-17,3.4372633533146505E-17
8147.6055560822615,3.4213805963862275E-17,3.4213805963862275E-17
8337.387669406711,3.404626733375694E-17,3.404626733375694E-17
8531.590376031852,3.38694733920624E-17,3.38694733920624E-17
8730.316644803323,3.368283882093097E-17,3.368283882093097E-17
8933.67184301927,3.3485733245268785E-17,3.3485733245268785E-17
9141.763792297505,3.327747701837381E-17,3.327747701837381E-17
9354.702825743963,3.3057336327105613E-17,3.3057336327105613E-17
9572.601846452762,3.282451780829604E-17,3.282451780829604E-17
9795.576387368925,3.257816244940309E-17,3.257816244940309E-17
10023.744672545452,3.231733865163942E-17,3.231733865163942E-17
10257.227679827298,3.2041034647831135E-17,3.2041034647831135E-17
10496.149204995447,3.174814958053456E-17,3.174814958053456E-17
10740.635927405066,3.1437483626265364E-17,3.1437483626265364E-17
10990.817477152497,3.1107726715688965E-17,3.1107726715688965E-17
11246.826503806984,3.075744546318168E-17,3.075744546318168E-17
11508.798746743134,3.038506865000226E-17,3.038506865000226E-17
11776.873107111769,2.998886986303576E-17,2.998886986303576E-17
12051.191721487163,2.95669482500126E-17,2.95669482500126E-17
12331.900037229647,2.9117205764581594E-17,2.9117205764581594E-17
12619.146889603862,2.863732085097455E-17,2.863732085097455E-17
12913.084580693127,2.812471796648901E-17,2.812483452216433E-17
13213.86896015193,2.7576531691616462E-17,2.7576822786431434E-17
13521.65950783964,2.6989564808001714E-17,2.6990042908860697E-17
13836.619418378727,2.636023869854217E-17,2.6360917433974844E-17
14158.91568768275,2.5684534463464038E-17,2.5685428767493858E-17
14488.719201499815,2.4957923151812166E-17,2.4959049430701642E-17
14826.204826018356,2.4175281711517675E-17,2.4176658038072255E-17
15171.551500583673,2.3330792114206327E-17,2.3332438455167942E-17
15524.942332573857,2.2417819027508387E-17,2.2419757511078266E-17
15886.564694485645,2.1428760719673082E-17,2.1431015951955885E-17
16256.610323281993,2.035486579820711E-17,2.0357465239796986E-17
16635.27542205342,1.9186007052714343E-17,1.9189445226859558E-17
