Freq	Mag Phase
5.65685424949236e+002	6.74540965967213e+001  1.32496808004862e+002
5.75098678978006e+002	6.73549426883072e+001  1.31806666540281e+002
5.84668573689921e+002	6.72546200437053e+001  1.31122764138257e+002
5.94397715654778e+002	6.71531521075156e+001  1.30445103533510e+002
6.04288754816836e+002	6.70505621661006e+001  1.29773683634509e+002
6.14344385216594e+002	6.69468733316782e+001  1.29108499601796e+002
6.24567345724566e+002	6.68421085271275e+001  1.28449542929191e+002
6.34960420787278e+002	6.67362904715184e+001  1.27796801527579e+002
6.45526441185667e+002	6.66294416663712e+001  1.27150259810992e+002
6.56268284806108e+002	6.65215843826505e+001  1.26509898784705e+002
6.67188877424274e+002	6.64127406484948e+001  1.25875696135053e+002
6.78291193502026e+002	6.63029322376801e+001  1.25247626320709e+002
6.89578256997580e+002	6.61921806588148e+001  1.24625660665141e+002
7.01053142189145e+002	6.60805071452585e+001  1.24009767449998e+002
7.12718974512269e+002	6.59679326457583e+001  1.23399912009162e+002
7.24578931411123e+002	6.58544778157901e+001  1.22796056823228e+002
7.36636243203943e+002	6.57401630095952e+001  1.22198161614186e+002
7.48894193962882e+002	6.56250082728967e+001  1.21606183440063e+002
7.61356122408493e+002	6.55090333362810e+001  1.21020076789335e+002
7.74025422819111e+002	6.53922576092273e+001  1.20439793674892e+002
7.86905545955350e+002	6.52747001747685e+001  1.19865283727373e+002
7.99999999999998e+002	6.51563797847613e+001  1.19296494287694e+002
8.13312351513546e+002	6.50373148557493e+001  1.18733370498600e+002
8.26846226405620e+002	6.49175234653948e+001  1.18175855395083e+002
8.40605310922573e+002	6.47970233494603e+001  1.17623889993538e+002
8.54593352651519e+002	6.46758318993156e+001  1.17077413379505e+002
8.68814161541068e+002	6.45539661599496e+001  1.16536362793887e+002
8.83271610939047e+002	6.44314428284627e+001  1.16000673717545e+002
8.97969638647495e+002	6.43082782530175e+001  1.15470279954150e+002
9.12912247995207e+002	6.41844884322243e+001  1.14945113711222e+002
9.28103508928127e+002	6.40600890149385e+001  1.14425105679272e+002
9.43547559117888e+002	6.39350953004468e+001  1.13910185108982e+002
9.59248605088798e+002	6.38095222390188e+001  1.13400279886360e+002
9.75210923363577e+002	6.36833844328023e+001  1.12895316605828e+002
9.91438861628162e+002	6.35566961370390e+001  1.12395220641198e+002
1.00793683991590e+003	6.34294712615798e+001  1.11899916214503e+002
1.02470935181141e+003	6.33017233726765e+001  1.11409326462673e+002
1.04176096567458e+003	6.31734656950304e+001  1.10923373502008e+002
1.05909632588477e+003	6.30447111140765e+001  1.10441978490480e+002
1.07672015410588e+003	6.29154721784834e+001  1.09965061687823e+002
1.09463725057236e+003	6.27857611028493e+001  1.09492542513436e+002
1.11285249539666e+003	6.26555897705755e+001  1.09024339602104e+002
1.13137084989847e+003	6.25249697368993e+001  1.08560370857543e+002
1.15019735795601e+003	6.23939122320680e+001  1.08100553503795e+002
1.16933714737984e+003	6.22624281646383e+001  1.07644804134499e+002
1.18879543130955e+003	6.21305281248833e+001  1.07193038760049e+002
1.20857750963367e+003	6.19982223882930e+001  1.06745172852696e+002
1.22868877043319e+003	6.18655209191518e+001  1.06301121389605e+002
1.24913469144913e+003	6.17324333741804e+001  1.05860798893913e+002
1.26992084157455e+003	6.15989691062267e+001  1.05424119473834e+002
1.29105288237133e+003	6.14651371679941e+001  1.04990996859848e+002
1.31253656961222e+003	6.13309463157938e+001  1.04561344440014e+002
1.33437775484855e+003	6.11964050133097e+001  1.04135075293468e+002
1.35658238700405e+003	6.10615214353657e+001  1.03712102222140e+002
1.37915651399516e+003	6.09263034716825e+001  1.03292337780751e+002
1.40210628437829e+003	6.07907587306165e+001  1.02875694305130e+002
1.42543794902454e+003	6.06548945428702e+001  1.02462083938919e+002
1.44915786282224e+003	6.05187179651644e+001  1.02051418658702e+002
1.47327248640789e+003	6.03822357838659e+001  1.01643610297627e+002
1.49778838792576e+003	6.02454545185610e+001  1.01238570567562e+002
1.52271224481698e+003	6.01083804255688e+001  1.00836211079855e+002
1.54805084563822e+003	5.99710195013859e+001  1.00436443364732e+002
1.57381109191070e+003	5.98333774860588e+001  1.00039178889418e+002
1.59999999999999e+003	5.96954598664743e+001  9.96443290750016e+001
1.62662470302709e+003	5.95572718795660e+001  9.92518053121314e+001
1.65369245281124e+003	5.94188185154297e+001  9.88615189755743e+001
1.68121062184514e+003	5.92801045203431e+001  9.84733814377057e+001
1.70918670530304e+003	5.91411343996861e+001  9.80873040809804e+001
1.73762832308213e+003	5.90019124207580e+001  9.77031983094409e+001
1.76654322187809e+003	5.88624426154857e+001  9.73209755593152e+001
1.79593927729499e+003	5.87227287830231e+001  9.69405473087610e+001
1.82582449599041e+003	5.85827744922354e+001  9.65618250868068e+001
1.85620701785625e+003	5.84425830840671e+001  9.61847204815457e+001
1.88709511823577e+003	5.83021576737918e+001  9.58091451476329e+001
1.91849721017759e+003	5.81615011531397e+001  9.54350108131395e+001
1.95042184672715e+003	5.80206161923029e+001  9.50622292858159e+001
1.98287772325632e+003	5.78795052418154e+001  9.46907124588142e+001
2.01587367983179e+003	5.77381705343072e+001  9.43203723159220e+001
2.04941870362283e+003	5.75966140861307e+001  9.39511209363588e+001
2.08352193134916e+003	5.74548376988590e+001  9.35828704991837e+001
2.11819265176955e+003	5.73128429606547e+001  9.32155332873659e+001
2.15344030821176e+003	5.71706312475091e+001  9.28490216915671e+001
2.18927450114471e+003	5.70282037243511e+001  9.24832482136847e+001
2.22570499079332e+003	5.68855613460264e+001  9.21181254702064e+001
2.26274169979694e+003	5.67427048581455e+001  9.17535661954225e+001
2.30039471591202e+003	5.65996347978026e+001  9.13894832445471e+001
2.33867429475968e+003	5.64563514941642e+001  9.10257895967945e+001
2.37759086261911e+003	5.63128550689294e+001  9.06623983584608e+001
2.41715501926734e+003	5.61691454366616e+001  9.02992227660568e+001
2.45737754086637e+003	5.60252223049927e+001  8.99361761895414e+001
2.49826938289826e+003	5.58810851747026e+001  8.95731721357035e+001
2.53984168314911e+003	5.57367333396724e+001  8.92101242517389e+001
2.58210576474266e+003	5.55921658867160e+001  8.88469463290707e+001
2.62507313922443e+003	5.54473816952899e+001  8.84835523074613e+001
2.66875550969709e+003	5.53023794370840e+001  8.81198562794617e+001
2.71316477400810e+003	5.51571575754952e+001  8.77557724952488e+001
2.75831302799031e+003	5.50117143649870e+001  8.73912153678947e+001
2.80421256875657e+003	5.48660478503368e+001  8.70260994791186e+001
2.85087589804907e+003	5.47201558657749e+001  8.66603395855672e+001
2.89831572564449e+003	5.45740360340169e+001  8.62938506256723e+001
2.94654497281577e+003	5.44276857651953e+001  8.59265477271320e+001
2.99557677585152e+003	5.42811022556912e+001  8.55583462150641e+001
3.04542448963397e+003	5.41342824868723e+001  8.51891616208794e+001
3.09610169127644e+003	5.39872232237402e+001  8.48189096919214e+001
3.14762218382139e+003	5.38399210134927e+001  8.44475064019206e+001
3.19999999999998e+003	5.36923721840053e+001  8.40748679623111e+001
3.25324940605417e+003	5.35445728422362e+001  8.37009108344548e+001
3.30738490562247e+003	5.33965188725637e+001  8.33255517428221e+001
3.36242124369028e+003	5.32482059350575e+001  8.29487076891744e+001
3.41837341060607e+003	5.30996294636943e+001  8.25702959677946e+001
3.47525664616426e+003	5.29507846645221e+001  8.21902341818114e+001
3.53308644375618e+003	5.28016665137807e+001  8.18084402606627e+001
3.59187855458997e+003	5.26522697559870e+001  8.14248324787413e+001
3.65164899198082e+003	5.25025889019922e+001  8.10393294752672e+001
3.71241403571250e+003	5.23526182270194e+001  8.06518502754292e+001
